title,handle,person_office,branch
Library of Congress,librarycongress,Office,Agency
National Aeronautics and Space Administration ,NASA,Office,Agency
Smithsonian Insitution,smithsonian,Office,Agency
National Park Service,NatlParkService,Office,Agency
Army Wonded Warrior Program,wwp,Office,Agency
Federal Trade Commission,FTC,Office,Agency
National Endowment for the Arts,NEAarts,Office,Agency
National Science Foundation,NSF,Office,Agency
Federal Reserve,federalreserve,Office,Agency
Small Business Administration,SBAgov,Office,Agency
United States Postal Service,USPS,Office,Agency
Social Security Administration,SocialSecurity,Office,Agency
Peace Corps,PeaceCorps,Office,Agency
Central Intelligence Agency,CIA,Office,Agency
Office of the Director of National Intelligence,ODNIgov,Office,Agency
Commission on Civil Rights,USCCRgov,Office,Agency
Equal Employment Opportunity Commission,EEOCNews,Office,Agency
United States Holocaust Memorial Museum,HolocaustMuseum,Office,Agency
National Security Agency,NSAGov,Office,Agency
Federal Bureau of Investigation,FBI,Office,Agency
Environmental Protection Agency,EPA,Office,Agency
Pentagon,PentagonPresSec,Office,Agency
United States Army,USArmy,Office,Agency
United States Navy ,USNavy,Office,Agency
United States Airforce,usairforce,Office,Agency
United States Marine Corps,USMC,Office,Agency
Drug Enforcement Administration,DEAHQ,Office,Agency
United States Coast Guard,USCG,Office,Agency
Harvard Medical School,harvardmed,Office,Research
Stanford University,Stanford,Office,Research
European Organization for Nuclear Research,CERN,Office,Research
Massachusetts Institute of Technology,MIT,Office,Research
Los Alamos National Lab,LosAlamosNatLab,Office,Research
Defense Advanced Research Projects Agencys,DARPA,Office,Research
Berkeley Lab,BerkelyLab,Office,Research
Internet2,nternet2,Office,Research
Research at Google,googleresearch,Office,Research
Duke University,DukeU,Office,Research
UCLA,UCLA,Office,Research
Texas A&M,TAMU,Office,Research
Johns Hopkins University,JohnsHopkins,Office,Research
California Institute of Technology,Caltech,Office,Research
Mayo Clinic,MayoClinic,Office,Research
Planned Parenthood,PPFA,Office,Non-Profit
American Cancer Society,AmericanCancer,Office,Non-Profit
Boy Scouts of America,boyscouts,Office,Non-Profit
American Diabetes Association,AmDiabetesAssn,Office,Non-Profit
Habitat for Humanity,Habitat_org,Office,Non-Profit
National Multiple Sclerosis Society,mssociety,Office,Non-Profit
Cystic Fibrosis Foundation,CF_Foundation,Office,Non-Profit
Girl Scouts of the USA,girlscouts,Office,Non-Profit
Public Broadcasting Service,PBS,Office,Non-Profit
National Public Radio,NPR,Office,Non-Profit
Wildlife Conservation Society,TheWCS,Office,Non-Profit
Ronald McDonald House Charities,RMHC,Office,Non-Profit
National Geographic Society,NatGeo,Office,Non-Profit
Ted Talks,TEDTalks,Office,Non-Profit
Make-A-Wish,MakeAWish,Office,Non-Profit
Disabled American Veterans,DAVHQ,Office,Non-Profit
St. Jude Children's Research Hospital,StJude,Office,Non-Profit
Teach for America,TeachForAmerica,Office,Non-Profit
Green Peace,Greenpeace,Office,Non-Profit
Doctors Without Borders,MSF,Office,Non-Profit
ACLU,ACLU,Office,Non-Profit
Human Rights Campaign,HRC,Office,Non-Profit
Museum of Modern Art,MuseumModernArt,Office,Non-Profit
United Nations Children's Fund,UNICEF,Office,Non-Profit
Human Rights Watch,HRW,Office,Think Tank
Brooking Institution,BrookingsInst,Office,Think Tank
American Enterprise Institute,AEI,Office,Think Tank
Council on Foreign Relations,CFR_org,Office,Think Tank
RAND Corporation,RANDCorporation,Office,Think Tank
Cato Institute,CatoInstitute,Office,Think Tank
Heritage Foundation,Heritage,Office,Think Tank
Pew Research Center,pewresearch,Office,Think Tank
Center of American Progress,amprog,Office,Think Tank
Center on Budget and Policy Priorities,CenterOnBudget,Office,Think Tank
Peterson Institute for International Economics,PIIE,Office,Think Tank
Urban Institute,urbaninstitute,Office,Think Tank
Woodrow Wilson International Center for Scholars,TheWilsonCenter,Office,Think Tank
National Bureau of Economic Research,nberpubs,Office,Think Tank
Center for Strategic International Studies,CSIS,Office,Think Tank
Hoover Institution,HooverInst,Office,Think Tank
Bipartisan Policy Center,BPC_Bipartisan,Office,Think Tank
Heartland Institute,HeartlandInst,Office,Think Tank
Freedom House,FreedomHouseDC,Office,Think Tank
Open Society,OpenSociety,Office,Think Tank
Earth Institute,earthinstitute,Office,Think Tank
Belfer Center for Science and International Affairs,BelferCenter,Office,Think Tank
Carnegie Endowment for International Peace,CarnegieEndow,Office,Think Tank
Manhattan Institute,ManhattanInst,Office,Think Tank
Aspen Institute,AspenInstitute,Office,Think Tank
